REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1964-07,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,21521,,,,0
1964-07,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,16148,,,,0
1964-07,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2733,,,,0
1964-07,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,2625,,,,0
1964-07,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,108,,,,0
1964-07,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,1974,,,,0
1964-07,Alberta,2016A000248,Units,300,units,0,v15819043,17,3962,,,,0
1964-07,British Columbia,2016A000259,Units,300,units,0,v15819044,18,10739,,,,0
1964-07,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,8494,,,,0
1964-07,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,2245,,,,0
1964-10,Canada,2016A000011124,Units,300,units,0,v15819027,1,88493,,,,0
1964-10,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,3615,,,,0
1964-10,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,308,,,,0
1964-10,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,76,,,,0
1964-10,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1764,,,,0
1964-10,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,1467,,,,0
1964-10,Quebec,2016A000224,Units,300,units,0,v15819033,7,19352,,,,0
1964-10,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,15107,,,,0
1964-10,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,4245,,,,0
1964-10,Ontario,2016A000235,Units,300,units,0,v15819036,10,44066,,,,0
1964-10,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,25112,,,,0
1964-10,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,18954,,,,0
1964-10,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2885,,,,0
1964-10,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,2730,,,,0
1964-10,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,155,,,,0
1964-10,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,2404,,,,0
1964-10,Alberta,2016A000248,Units,300,units,0,v15819043,17,5288,,,,0
1964-10,British Columbia,2016A000259,Units,300,units,0,v15819044,18,10883,,,,0
1964-10,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,7954,,,,0
1964-10,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,2929,,,,0
1965-01,Canada,2016A000011124,Units,300,units,0,v15819027,1,72515,,,,0
1965-01,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,2917,,,,0
